outcome,estimate,std.error,df,statistic,p.value,adjusted_p,conf.low,conf.high
Party: Democrat,-0.001171791604428679,9.672692453404011e-4,1999280,-1.211443049671555,0.22572579194669123,0.8099742299751566,-0.0030676056363754672,7.240224275181094e-4
Party: Republican,-1.6415438878602628e-4,3.9620494862078814e-4,1999280,-0.4143168563579456,0.678642115038365,0.9444849445941029,-9.407022887016374e-4,6.123935111295849e-4
Party: Unknown,1.1658263847908491e-4,0.0012752333334962924,1999280,0.09142063292797692,0.9271583768514289,0.9444849445941029,-0.00238283028020391,0.0026159955571620794
Party: Other,0.001219363355001116,9.699888065833135e-4,1999280,1.2570901300358288,0.2087211475792342,0.8099742299751566,-6.817809222624638e-4,0.0031205076322646957
TSS: 30-40,0.0014294390348710518,0.0011729745413384624,1999280,1.2186445523702005,0.22297927526349492,0.8099742299751566,-8.695502127434804e-4,0.003728428282485584
TSS: 40-50,0.0016147650153430085,0.00116604063484289,1999280,1.3848273954540005,0.16610540645964098,0.8099742299751566,-6.706340170405131e-4,0.0039001640477265304
TSS: 50-60,2.7280775954122795e-4,0.0011924848523201035,1999280,0.22877251565120682,0.8190457530459895,0.9444849445941029,-0.00206442101807472,0.002610036537157176
TSS: 60-70,-0.003317011810141202,0.0012715881346728713,1999280,-2.6085583214367882,0.009092519253985975,0.20003542358769144,-0.0058092802660885436,-8.247433541938602e-4
Trump support score / 100,-7.449694217237392e-4,3.296431473267387e-4,1999280,-2.259926917228871,0.023825894142766584,0.26208483557043244,-0.0013910585093770992,-9.88803340703793e-5
Turnout score / 100,4.6870766066994763e-4,6.62863321934556e-4,1999280,0.707095482824471,0.4795072253534609,0.9444849445941029,-8.304813635237735e-4,0.0017678966848636687
Ideology score / 100,2.639766497010535e-5,3.7909135476041475e-4,1999280,0.06963404635483876,0.9444849445941029,0.9444849445941029,-7.166081870267625e-4,7.694035169669733e-4
Partisanship score / 100,3.859619507071926e-4,7.895071744313106e-4,1999280,0.4888643994719929,0.6249377549313313,0.9444849445941029,-0.0011614446135145412,0.0019333685149289265
Voted in 2000,-5.891916153077118e-5,8.202377463335424e-4,1999280,-0.07183180948955283,0.9427357650720818,0.9444849445941029,-0.0016665565763689723,0.00154871825330743
Voted in 2002,1.9752287362026933e-4,6.664479285878905e-4,1999280,0.2963815553283998,0.7669387404088803,0.9444849445941029,-0.0011086918547660934,0.001503737602006632
Voted in 2004,1.7317997299390225e-4,0.001072465578655666,1999280,0.1614783508585731,0.8717166774155458,0.9444849445941029,-0.0019288152083786038,0.0022751751543664085
Voted in 2006,-1.8386742343610803e-4,8.534538680503095e-4,1999280,-0.2154392057020584,0.8294249278225592,0.9444849445941029,-0.0018566072799583084,0.0014888724330860922
Voted in 2008,-9.368010969112754e-4,0.0012314429960239167,1999280,-0.7607344391384895,0.44681578994602433,0.9444849445941029,-0.0033503864793175435,0.001476784285494993
Voted in 2010,-6.267903960785359e-4,9.080988318670872e-4,1999280,-0.6902226652905499,0.4900542521953257,0.9444849445941029,-0.002406632478457834,0.0011530516863007619
Voted in 2012,3.2804264524801963e-4,0.0013019558394644004,1999280,0.25196142242656255,0.8010709083081898,0.9444849445941029,-0.002223745454417073,0.0028798307449131124
Voted in 2014,-0.0011191122745493063,9.88790632506845e-4,1999280,-1.1317990257574158,0.25771907317391346,0.8099742299751566,-0.0030571074757761597,8.188829266775471e-4
Voted in 2016,-3.837905275132347e-4,0.0013752503668740508,1999280,-0.27906956926366216,0.780191464813405,0.9444849445941029,-0.003079233348133736,0.0023116522931072667
Voted in 2018,0.0011236620081206358,0.0012748509644164305,1999280,0.8814065639703993,0.37809791214035715,0.9444849445941029,-0.0013750014804833227,0.003622325496724594
